STNAME,2009_DRP912,2009_DRP9,2009_DRP10,2009_DRP11,2009_DRP12,2009_DRPAM,2009_DRPAS,2009_DRPHI,2009_DRPBL,2009_DRPWH
massachusetts,2.899999618530273,2.799999237060547,2.899999618530273,2.899999618530273,3.0999984741210938,4.299999237060547,1.6999998092651367,7.5,5.599998474121094,1.7999992370605469
michigan,3.799999237060547,3.1999988555908203,3.8999996185302734,3.799999237060547,4.699996948242188,6.3999977111816415,1.5999994277954102,5.599998474121094,7.8999977111816415,2.5999984741210938
minnesota,1.8999996185302732,0.6999998092651367,0.7999997138977051,1.3999996185302734,4.299999237060547,8.5,1.8999996185302732,5.0,4.699996948242188,1.1999998092651367
mississippi,4.199996948242188,3.399999618530273,4.099998474121094,4.099998474121094,3.8999996185302734,3.8999996185302734,1.8999996185302732,3.1999988555908203,5.199996948242188,3.1999988555908203
missouri,4.299999237060547,3.69999885559082,4.0,4.599998474121094,5.0,5.0,2.1999988555908203,4.8999977111816415,9.599998474121094,3.0999984741210938
montana,5.0,3.0999984741210938,4.8999977111816415,5.799999237060548,6.5,12.29999542236328,3.5,8.299995422363281,7.5,4.099998474121094
nebraska,2.399999618530273,1.2999992370605469,2.1999988555908203,2.6999988555908203,3.5,5.5,1.6999998092651367,4.699996948242188,6.0,1.6999998092651367
nevada,5.099998474121094,4.199996948242188,4.5,4.099998474121094,8.5,5.799999237060548,3.399999618530273,6.599998474121094,6.8999977111816415,3.69999885559082
new hampshire,1.6999998092651367,0.09999996423721312,0.5,1.5999994277954102,5.0,3.0999984741210938,0.6999998092651367,2.0999984741210938,6.0,1.6999998092651367
new jersey,1.5999994277954102,1.5999994277954102,1.5,1.5,1.5,3.5,0.2999999523162842,2.899999618530273,3.399999618530273,0.8999996185302734
new mexico,4.8999977111816415,4.699996948242188,5.799999237060548,5.099998474121094,3.5999984741210938,7.099998474121094,3.0999984741210938,5.0,5.199996948242188,3.799999237060547
new york,4.199996948242188,3.5,4.699996948242188,3.8999996185302734,5.299999237060547,6.699996948242188,2.5,7.099998474121094,7.599998474121094,2.0
north carolina,5.299999237060547,5.599998474121094,5.5,5.699996948242188,4.299999237060547,7.6999969482421875,2.0999984741210938,7.299999237060548,6.0,4.599998474121094
north dakota,2.5,1.0,2.399999618530273,2.799999237060547,3.69999885559082,8.699996948242188,1.0,5.199996948242188,5.5,1.6999998092651367
ohio,4.199996948242188,4.5,2.6999988555908203,3.399999618530273,6.099998474121094,7.599998474121094,1.6999998092651367,7.799999237060548,9.899993896484377,2.799999237060547
oklahoma,2.5,2.0,2.5999984741210938,2.899999618530273,2.6999988555908203,2.5999984741210938,1.8999996185302732,3.69999885559082,2.6999988555908203,2.299999237060547
oregon,3.399999618530273,1.1999998092651367,2.0,3.5999984741210938,6.699996948242188,6.3999977111816415,2.399999618530273,5.099998474121094,6.099998474121094,2.899999618530273
pennsylvania,2.299999237060547,1.5999994277954102,2.1999988555908203,2.399999618530273,3.1999988555908203,3.399999618530273,1.5,5.8999977111816415,4.599998474121094,1.5999994277954102
rhode island,4.3999977111816415,4.199996948242188,4.799999237060547,4.3999977111816415,4.199996948242188,5.3999977111816415,3.69999885559082,7.199996948242188,6.299999237060548,3.5
south carolina,3.399999618530273,3.1999988555908203,3.5999984741210938,3.5999984741210938,3.0,6.299999237060548,1.3999996185302734,3.8999996185302734,3.5999984741210938,3.1999988555908203
south dakota,1.7999992370605469,0.8999996185302734,1.8999996185302732,1.8999996185302732,2.399999618530273,6.199996948242188,0.7999997138977051,3.5,0.7999997138977051,1.1999998092651367
tennessee,3.1999988555908203,2.0,2.399999618530273,3.5999984741210938,5.0,2.6999988555908203,1.6999998092651367,3.8999996185302734,6.3999977111816415,2.0
texas,3.1999988555908203,2.0,2.899999618530273,2.5999984741210938,5.799999237060548,2.1999988555908203,1.0,4.199996948242188,5.0,1.5
utah,3.299999237060547,0.6999998092651367,1.7999992370605469,3.1999988555908203,7.5,7.3999977111816415,2.799999237060547,6.699996948242188,5.299999237060547,2.5999984741210938
vermont,2.5999984741210938,1.1999998092651367,2.399999618530273,3.1999988555908203,3.399999618530273,,,,,
virginia,2.5,2.0,2.1999988555908203,2.5999984741210938,3.299999237060547,3.1999988555908203,1.0999994277954102,5.0,3.8999996185302734,1.6999998092651367
washington,4.699996948242188,3.5,3.69999885559082,5.0,6.599998474121094,9.399993896484377,3.0999984741210938,6.699996948242188,7.199996948242188,4.0
west virginia,4.099998474121094,3.69999885559082,4.299999237060547,4.599998474121094,4.0,8.399993896484375,1.1999998092651367,4.799999237060547,4.3999977111816415,4.099998474121094
wisconsin,2.299999237060547,1.2999992370605469,0.8999996185302734,2.0,4.799999237060547,4.8999977111816415,2.0,5.199996948242188,8.0,1.2999992370605469
wyoming,1.0999994277954102,0.5999999046325684,1.5,1.0,1.2999992370605469,4.5,0.2999999523162842,2.6999988555908203,2.6999988555908203,0.6999998092651367
