STNAME,2007_E212,2007_E213,2007_E214,2007_E215,2007_E216,2007_E217,2007_E218,2007_E222,2007_E223,2007_E224,2007_E225,2007_E226,2007_E227,2007_E228,2007_E232,2007_E233,2007_E234,2007_E235,2007_E236,2007_E237,2007_E238,2007_E242,2007_E243,2007_E244,2007_E245,2007_E246,2007_E247,2007_E248,2007_E252,2007_E253,2007_E254,2007_E255,2007_E256,2007_E257,2007_E258,2007_E262,2007_E263,2007_E264,2007_E265,2007_E266,2007_E267,2007_E268
new mexico,177416935,45236964,29400137,141129204,103584332,20989950,44817936,51410996,14177786,9725185,42755902,31918600,7815866,16158156,47133701,10405105,23997503,29297286,102672573,70643489,5749239,7210843,20066635,3231352,2721697,61532657,6135025,8164294,630583,120201,178436,28138,78192,7985553,588715,784685,116360,92801,6699,748722,16674,550140
new york,875357535,699788322,266972916,1252888053,1640329732,450806252,515058364,413089995,237371795,199756020,484538157,701720344,201181997,111988634,103623116,119832245,305416617,22301815,1290850212,1580910437,359476272,12926426,160475426,6293787,14187283,160451762,92864411,41657570,1199218,115905833,3072094,1994923,45578737,29953620,11740130,186858,126513,68734197,271552,1848929,96340,148494717
north carolina,468968191,295727326,104833058,555805697,319570754,256948311,148287440,107874888,71518007,26720318,141666240,81453622,44900880,37799070,48158078,77506767,48119178,36340117,384048909,43371332,75428174,8514010,12192460,8509033,4907149,104166892,92290461,18695839,160925,615530,510330,184093,23046652,428237,4945205,384187,918514,14680933,645880,8785722,2439356,17400209
north dakota,24151541,15018810,21043942,30799326,27833586,12210987,11705882,6555846,5234163,7781505,8684952,7292133,2121057,3012148,3995022,3466811,6425527,1186573,18684378,13713764,3487375,1010133,3053108,1163426,468942,26271202,8304328,1662110,644763,2540749,507541,107718,3943719,4571594,2531796,77090,535604,3144595,244542,609787,448267,263583
ohio,678577763,671400432,278456319,637401236,620589233,383908831,278383512,217068110,267880494,95466441,243581124,250563590,177709581,119317258,158623762,152066190,115271647,121158363,718404938,163187099,178265301,22263246,55351972,9018980,18584227,96255383,115906642,21156368,7094025,24130712,4317525,5537851,68851919,61526911,33268614,18073239,12082188,37105004,38100209,4331594,2010119,203077985
oklahoma,165410149,95162982,85540857,194788087,151537027,74006158,56350579,44807823,25862903,22024185,49653455,42534141,19101231,14827390,37088255,34022573,20281628,2034288,180640722,23200727,27631227,32315954,16806691,1605845,7094803,156537946,32256909,13561191,1124701,776644,108381,1097239,11256746,26841356,3420420,25733114,6066537,3927991,925752,1758462,597726,17723947
oregon,213096032,103234623,31860771,208233671,133071733,64429077,128182305,94089694,47882586,13335549,94761476,70711523,38012921,81902720,32552958,33814711,17228265,9548305,178203494,96598321,56420337,7990713,20850120,1935635,6914781,31218807,18325983,29653048,1062759,921358,106227,522049,5629113,14143007,7728775,4669778,2291005,5820146,1319472,10475260,2364046,13408812
pennsylvania,653712740,415427278,275262305,616342884,779524650,151079254,323953255,230324467,151232726,105957125,217804508,329456918,58412960,129932048,94194835,135509751,200495965,40216506,649501955,737259418,181635814,19872660,79446987,15233552,15417686,365156897,43984228,40203469,3119738,42781896,2617513,4368042,31139041,17984548,33480873,2027921,4013014,31505919,2710764,2689445,1160225,37822120
rhode island,147674040,56487907,13171606,69452173,53302696,13334828,27389974,69386235,22030558,5088954,29780153,27544480,8417745,13049060,17459802,12417633,4804519,2395284,48065060,51913525,6018343,903476,3404536,362475,1161056,43009678,2934950,886192,38162,303775,365828,241915,1404253,536194,526611,1108859,821826,1964969,334655,1826110,8776,851033
south carolina,237211564,249476055,26622950,261279920,167829881,138885039,97690411,63978072,67526405,17048419,71705944,57531283,40613015,30486656,23736753,56676620,20700899,6193823,162665030,33757828,32658180,14731116,37269891,2082962,4971912,171584646,2968175,20849206,2276967,3084010,1138221,1038407,12028190,2094833,12254585,86683832,1229829,13894243,658699,3139541,622397,2420380
south dakota,29319306,22689804,18920448,35838566,35347819,10052999,15819243,7834061,5925643,5632234,10799373,11142805,2473030,5542105,15495002,5138726,6440807,1403524,43698786,16100786,12413478,1104552,7770050,814420,605359,11262073,5297095,1171503,43645,3905062,111160,173316,8658971,4608299,1462514,27103,278176,3188114,229580,3503637,621046,759060
tennessee,168172266,256814725,27775363,294608431,207540834,93530252,63353260,43521642,61408688,18458944,78627233,70364403,32453526,26953897,21220536,42889304,16624106,17861327,84715394,85446601,19101879,3673050,19160207,1265121,2067176,255174558,36653532,5787667,923147,5329773,336383,1575042,6442517,24422622,8650572,6212214,9017757,78090832,1272745,18648575,5323757,3452691
texas,1360079180,1224098096,181730997,1650796180,1505502732,546735557,701708673,212302718,197350173,28746558,265257615,319790530,123851966,109793750,118467288,297624114,308313066,36006494,722239340,160898253,234463942,60060757,205824289,9855931,45529217,1583576224,159207601,100092293,3723371,27676906,715139,1821885,67148165,148484740,48128512,8293625,34855469,27091333,13094049,11649647,890874,178792235
utah,71304299,77077501,18547328,128845445,108582760,52340825,35926795,27819089,31045052,7999607,51132460,45710078,21919777,16915145,9747459,12472887,8663241,3577646,52636972,7446318,9648498,1670703,11959031,1871454,1095019,84722832,16567171,2731945,377352,1090844,122445,302941,6121219,14998131,2098029,847257,742474,405439,323551,,372459,211266
vermont,57999008,26070560,14149756,59349536,31766295,7665441,13543281,18385912,10699017,4992559,20460705,12965792,2839564,5498732,17709338,8630866,9538342,5689235,29382274,29069828,4380015,1455123,4861008,845015,1830291,32357981,2380060,804815,382235,3773191,280381,989662,3842842,2540553,1013011,206639,444604,1006289,832011,145573,73276,5595160
virginia,432318464,478802687,99913693,530477155,452477318,344948146,111780754,139194103,162282195,35251587,175366970,166409139,126548792,47572448,18729654,93552916,33214720,12292493,465793477,46705411,28149684,5726518,87439575,10060432,8964996,96730439,83358112,6704363,2136530,55116522,12679142,1272034,36910864,74751000,1717887,1758292,686184,619595,2918871,12787198,16286578,2212749
washington,395817879,271000455,83405280,383332226,291594970,166940494,170667041,125111631,78642864,21770498,112051815,115588174,69750460,52441828,40889103,29104279,55065421,8612814,337099055,70955613,73706244,6608328,19279035,6932164,8338662,62952090,48454424,18714271,449121,2149588,1095084,579130,20871527,42125245,5688585,654444,1365221,2416754,830799,3498322,1126055,2369442
west virginia,60100354,58003154,31059331,96861467,92083791,93427307,23076278,28028074,26822365,18139770,47543946,53084599,59186325,14183240,7908302,16621181,17882977,810357,65341740,15449984,5863539,2019428,9267318,2516706,690798,80301717,30036065,2208321,60623,498412,477110,107118,2792094,19942539,290394,24989,62129,345471,21596,1015893,140524,
wisconsin,253627140,226259222,89799722,294808688,292900910,32187095,130368025,120962158,108329951,36960143,143624476,158635047,13163625,189603000,34871399,48107535,96398835,7941399,162828108,287726162,68262626,5962327,51193900,4704531,10730229,243977196,4441854,23797476,969226,10093767,2347373,5090972,16576496,11389060,25326539,533441,3262343,4486911,1704697,652102,1823394,37288903
wyoming,44300807,40836934,10739789,42550091,43615850,26552707,22362122,15245585,14183218,3784607,15753413,18291214,9838314,8936911,5346401,13020512,6492936,1558601,12965713,4068679,6066749,955742,6704952,930233,1685472,36487422,9459527,3337429,150860,3431087,561488,398289,4864963,10656147,4676054,41293,293523,746595,544905,94117,63259,759199
